experimento_id,historia,escena,escena_titulo,herramienta,condicion,modelo_version,estrategia_prompt,negative_prompt,seed,ratio,variantes_generadas,output_seleccionado,costo_o_creditos,score_alineacion,score_personaje,score_estilo,score_calidad,score_storyboard,score_control,score_total,score_promedio,observaciones
E-S01-base_chatgpt,H3,S01,El mapa despierta,ChatGPT Images,base_chatgpt,Último modelo disponible en ChatGPT,Story generation sequence with initial fixed anchors in S01 and complete prompts per scene; S06 required local iterative editing.,Integrated in prompt text,N/A,16:9,1 (S06: 3 with edits),H3_S01_chatgpt_v01.png,Incluido en suscripción Plus,4.5,4.1,4.4,4.4,4.6,3.6,25.6,4.27,Good macro continuity; fine object consistency issues remain (map and compass).
E-S01-refined_leonardo_pe_off,H3,S01,El mapa despierta,Leonardo AI,refined_leonardo_pe_off,Phoenix 1.0,Refined prompts with detailed character anchors; Prompt Enhance Off; Style Illustration.,On,3303,16:9,4 (S07 only 2 delivered in PE Off due moderation),H3_S01_leonardo_phoenix_refined_v02.jpg,Free tokens; S07 PE Off returned 8 tokens due moderation,1.8,1.4,2.1,1.9,1.6,2.4,11.2,1.87,Weak clarity and low scene readability; Phoenix issue warning was shown; S07 only delivered 2/4 due content moderation.
E-S01-refined_leonardo_pe_on,H3,S01,El mapa despierta,Leonardo AI,refined_leonardo_pe_on,Phoenix 1.0,Second run with Prompt Enhance On after poor PE Off results; enhanced prompt text retained in notes.,On,3303,16:9,4,H3_S01_leonardo_phoenix_refined_v04.jpg,Free tokens,2.1,1.7,2.3,2.1,2.0,2.3,12.5,2.08,Prompt Enhance did not improve enough; outputs remained difficult to interpret.
E-S01-refined_ideogram_reference,H3,S01,El mapa despierta,Ideogram,refined_ideogram_reference,Nano Banana / Auto 3.0 metadata as reported by platform,"Prompt + negative prompt in a single request, using ChatGPT-generated character reference image.",Included in same prompt text,N/A (seeds in platform metadata per generation),16:9,4,H3_S01_ideogram_refined_with_reference_v04.jpeg,Free credits; generation split across two accounts due limit,4.6,4.6,4.7,4.6,4.6,3.9,27.0,4.5,"Reference image improved framing, style and character stability; limited by free credits/account quota."
E-S04-base_chatgpt,H3,S04,Tormenta en el campo,ChatGPT Images,base_chatgpt,Último modelo disponible en ChatGPT,Story generation sequence with initial fixed anchors in S01 and complete prompts per scene; S06 required local iterative editing.,Integrated in prompt text,N/A,16:9,1 (S06: 3 with edits),H3_S04_chatgpt_v01.png,Incluido en suscripción Plus,4.3,4.0,4.3,4.2,4.5,3.5,24.8,4.13,Good macro continuity; fine object consistency issues remain (map and compass).
E-S04-refined_leonardo_pe_off,H3,S04,Tormenta en el campo,Leonardo AI,refined_leonardo_pe_off,Phoenix 1.0,Refined prompts with detailed character anchors; Prompt Enhance Off; Style Illustration.,On,3303,16:9,4 (S07 only 2 delivered in PE Off due moderation),H3_S04_leonardo_phoenix_refined_v02.jpg,Free tokens; S07 PE Off returned 8 tokens due moderation,2.0,1.5,2.0,2.0,1.8,2.3,11.6,1.93,Weak clarity and low scene readability; Phoenix issue warning was shown; S07 only delivered 2/4 due content moderation.
E-S04-refined_leonardo_pe_on,H3,S04,Tormenta en el campo,Leonardo AI,refined_leonardo_pe_on,Phoenix 1.0,Second run with Prompt Enhance On after poor PE Off results; enhanced prompt text retained in notes.,On,3303,16:9,4,H3_S04_leonardo_phoenix_refined_v04.jpg,Free tokens,2.1,1.7,2.2,2.2,2.1,2.3,12.6,2.1,Prompt Enhance did not improve enough; outputs remained difficult to interpret.
E-S04-refined_ideogram_reference,H3,S04,Tormenta en el campo,Ideogram,refined_ideogram_reference,Nano Banana / Auto 3.0 metadata as reported by platform,"Prompt + negative prompt in a single request, using ChatGPT-generated character reference image.",Included in same prompt text,N/A (seeds in platform metadata per generation),16:9,4,H3_S04_ideogram_refined_with_reference_v02.jpeg,Free credits; generation split across two accounts due limit,4.7,4.6,4.7,4.6,4.7,3.9,27.2,4.53,"Reference image improved framing, style and character stability; limited by free credits/account quota."
E-S07-base_chatgpt,H3,S07,La biblioteca perdida,ChatGPT Images,base_chatgpt,Último modelo disponible en ChatGPT,Story generation sequence with initial fixed anchors in S01 and complete prompts per scene; S06 required local iterative editing.,Integrated in prompt text,N/A,16:9,1 (S06: 3 with edits),H3_S07_chatgpt_v01.png,Incluido en suscripción Plus,4.6,4.1,4.5,4.4,4.7,3.6,25.9,4.32,Good macro continuity; fine object consistency issues remain (map and compass).
E-S07-refined_leonardo_pe_off,H3,S07,La biblioteca perdida,Leonardo AI,refined_leonardo_pe_off,Phoenix 1.0,Refined prompts with detailed character anchors; Prompt Enhance Off; Style Illustration.,On,3303,16:9,4 (S07 only 2 delivered in PE Off due moderation),H3_S07_leonardo_phoenix_refined_v01.jpg,Free tokens; S07 PE Off returned 8 tokens due moderation,1.9,1.4,2.0,1.9,1.9,2.0,11.1,1.85,Weak clarity and low scene readability; Phoenix issue warning was shown; S07 only delivered 2/4 due content moderation.
