experimento_id,historia,escena,herramienta,modelo_version,prompt_base,negative_prompt,seed,ratio,variaciones_generadas,output_final,costo_est,score_alineacion,score_personaje,score_estilo,score_calidad,score_storyboard,score_control,notas,score_total,score_promedio
C-001,H1,S01,chatgpt,Ultimo modelo ChatGPT,"Cinemático sci-fi realista; iluminación fría; tonos azul/gris; alto detalle; contraste moderado. Scene S01 from 'La Estación de Niebla'. Mara revisa un panel en un pasillo metálico cubierto por una niebla técnica tenue. Characters: Mara. Visual goal: Introducir a Mara, el entorno y la atmósfera de anomalía. Location: Pasillo de mantenimiento. Time: Noche orbital. Shot: Plano general / travelling corto. Keep consistency anchors: Mara: cabello corto negro con mechón plateado, uniforme técnico gris oscuro con líneas cian, brazalete izquierdo. ARCO: holograma azul translúcido.",N/A (integrado en prompt o no disponible),,16:9,1,H1_S01_chatgpt_v01.png,Sin costo extra adicional,3,3,4,4,5,3,,22,3.6666666666666665
C-002,H1,S01,leonardo,Phoenix 1.0,"Cinemático sci-fi realista; iluminación fría; tonos azul/gris; alto detalle; contraste moderado. Scene S01 from 'La Estación de Niebla'. Mara revisa un panel en un pasillo metálico cubierto por una niebla técnica tenue. Characters: Mara. Visual goal: Introducir a Mara, el entorno y la atmósfera de anomalía. Location: Pasillo de mantenimiento. Time: Noche orbital. Shot: Plano general / travelling corto. Keep consistency anchors: Mara: cabello corto negro con mechón plateado, uniforme técnico gris oscuro con líneas cian, brazalete izquierdo. ARCO: holograma azul translúcido.","no visible text unless requested, deformed hands, incorrect anatomy, duplicate elements, glitches, excessive noise, low resolution, strong blur, inconsistent faces, dominant warm colors",1101.0,16:9,4,H1_S01_leonardo_phoenix_v04.jpg,24 tokens por escena (4 imagenes),5,4,4,5,5,5,,28,4.666666666666667
C-003,H1,S01,ideogram,Auto (3.0),"Cinemático sci-fi realista; iluminación fría; tonos azul/gris; alto detalle; contraste moderado. Scene S01 from 'La Estación de Niebla'. Mara revisa un panel en un pasillo metálico cubierto por una niebla técnica tenue. Characters: Mara. Visual goal: Introducir a Mara, el entorno y la atmósfera de anomalía. Location: Pasillo de mantenimiento. Time: Noche orbital. Shot: Plano general / travelling corto. Keep consistency anchors: Mara: cabello corto negro con mechón plateado, uniforme técnico gris oscuro con líneas cian, brazalete izquierdo. ARCO: holograma azul translúcido.",N/A (integrado en prompt o no disponible),,16:9,4,H1_S01_ideogram_v04.jpeg,2 creditos por escena (4 imagenes),5,5,4,5,5,4,,28,4.666666666666667
C-004,H1,S08,chatgpt,Ultimo modelo ChatGPT,"Cinemático sci-fi realista; iluminación fría; tonos azul/gris; alto detalle; contraste moderado. Scene S08 from 'La Estación de Niebla'. Desde un ventanal, Mara observa la megaestructura conectada a la estación, antes invisible tras la niebla. Characters: Mara, ARCO. Visual goal: Cerrar con revelación y apertura a la siguiente fase. Location: Mirador exterior. Time: Después del bloqueo. Shot: Gran plano general / contraluz. Keep consistency anchors: Mara: cabello corto negro con mechón plateado, uniforme técnico gris oscuro con líneas cian, brazalete izquierdo. ARCO: holograma azul translúcido.",N/A (integrado en prompt o no disponible),,16:9,1,H1_S08_chatgpt_v01.png,Sin costo extra adicional,4,4,4,5,5,3,,25,4.166666666666667
C-005,H1,S08,leonardo,Phoenix 1.0,"Cinemático sci-fi realista; iluminación fría; tonos azul/gris; alto detalle; contraste moderado. Scene S08 from 'La Estación de Niebla'. Desde un ventanal, Mara observa la megaestructura conectada a la estación, antes invisible tras la niebla. Characters: Mara, ARCO. Visual goal: Cerrar con revelación y apertura a la siguiente fase. Location: Mirador exterior. Time: Después del bloqueo. Shot: Gran plano general / contraluz. Keep consistency anchors: Mara: cabello corto negro con mechón plateado, uniforme técnico gris oscuro con líneas cian, brazalete izquierdo. ARCO: holograma azul translúcido.","no visible text unless requested, deformed hands, incorrect anatomy, duplicate elements, glitches, excessive noise, low resolution, strong blur, inconsistent faces, dominant warm colors",1101.0,16:9,4,H1_S08_leonardo_phoenix_v04.jpg,24 tokens por escena (4 imagenes),3,2,4,4,3,5,Falto uno de los personajes,21,3.5
C-006,H1,S08,ideogram,Auto (3.0),"Cinemático sci-fi realista; iluminación fría; tonos azul/gris; alto detalle; contraste moderado. Scene S08 from 'La Estación de Niebla'. Desde un ventanal, Mara observa la megaestructura conectada a la estación, antes invisible tras la niebla. Characters: Mara, ARCO. Visual goal: Cerrar con revelación y apertura a la siguiente fase. Location: Mirador exterior. Time: Después del bloqueo. Shot: Gran plano general / contraluz. Keep consistency anchors: Mara: cabello corto negro con mechón plateado, uniforme técnico gris oscuro con líneas cian, brazalete izquierdo. ARCO: holograma azul translúcido.",N/A (integrado en prompt o no disponible),,16:9,4,H1_S08_ideogram_v04.jpeg,2 creditos por escena (4 imagenes),4,4,4,4,4,4,,24,4.0
C-007,H2,S01,chatgpt,Ultimo modelo ChatGPT,"Ilustración suave tipo cuento; paleta cálida; texturas acuarela; expresiones claras; composición limpia. Scene S01 from 'La Luciérnaga y el Río'. Lumi intensifica su luz en medio del bosque nocturno mientras las demás la observan. Characters: Lumi. Visual goal: Presentar a Lumi y su deseo de destacar. Location: Claro del bosque. Time: Noche. Shot: Plano general infantil / composición central. Keep consistency anchors: Lumi: luciérnaga ámbar dorada con bufanda-hoja verde, alas translúcidas, ojos grandes. Grupo: 2-3 luciérnagas cálidas. Río: reflejo sabio no literal.",N/A (integrado en prompt o no disponible),,4:3,1,H2_S01_chatgpt_v01.png,Sin costo extra adicional,3,3,4,2,4,3,El personaje principal de la imagen no tiene todas las extremidades,19,3.1666666666666665
C-008,H2,S01,leonardo,Phoenix 1.0,"Ilustración suave tipo cuento; paleta cálida; texturas acuarela; expresiones claras; composición limpia. Scene S01 from 'La Luciérnaga y el Río'. Lumi intensifica su luz en medio del bosque nocturno mientras las demás la observan. Characters: Lumi. Visual goal: Presentar a Lumi y su deseo de destacar. Location: Claro del bosque. Time: Noche. Shot: Plano general infantil / composición central. Keep consistency anchors: Lumi: luciérnaga ámbar dorada con bufanda-hoja verde, alas translúcidas, ojos grandes. Grupo: 2-3 luciérnagas cálidas. Río: reflejo sabio no literal.","harsh realism, horror, violence, grotesque insect anatomy, text, noise, cluttered background, extreme saturation, aggressive expressions",2202.0,4:3,4,H2_S01_leonardo_phoenix_v01.jpg,24 tokens por escena (4 imagenes),3,4,4,4,4,5,Uso un estilo realista para representar las luciernagas,24,4.0
C-009,H2,S01,ideogram,Auto (3.0),"Ilustración suave tipo cuento; paleta cálida; texturas acuarela; expresiones claras; composición limpia. Scene S01 from 'La Luciérnaga y el Río'. Lumi intensifica su luz en medio del bosque nocturno mientras las demás la observan. Characters: Lumi. Visual goal: Presentar a Lumi y su deseo de destacar. Location: Claro del bosque. Time: Noche. Shot: Plano general infantil / composición central. Keep consistency anchors: Lumi: luciérnaga ámbar dorada con bufanda-hoja verde, alas translúcidas, ojos grandes. Grupo: 2-3 luciérnagas cálidas. Río: reflejo sabio no literal.",N/A (integrado en prompt o no disponible),,4:3,4,H2_S01_ideogram_v04.jpeg,2 creditos por escena (4 imagenes),4,4,4,4,4,4,,24,4.0
C-010,H2,S08,chatgpt,Ultimo modelo ChatGPT,"Ilustración suave tipo cuento; paleta cálida; texturas acuarela; expresiones claras; composición limpia. Scene S08 from 'La Luciérnaga y el Río'. Muchas luces pequeñas forman un camino brillante y armónico hacia el bosque. Characters: Lumi. Visual goal: Cerrar con moraleja visual clara. Location: Sendero principal. Time: Noche al final. Shot: Gran plano general poético. Keep consistency anchors: Lumi: luciérnaga ámbar dorada con bufanda-hoja verde, alas translúcidas, ojos grandes. Grupo: 2-3 luciérnagas cálidas. Río: reflejo sabio no literal.",N/A (integrado en prompt o no disponible),,4:3,1,H2_S08_chatgpt_v01.png,Sin costo extra adicional,3,3,4,2,3,3,El personaje principal de la imagen no tiene todas las extremidades,18,3.0
