historia,escena,herramienta,modelo_version,archivo_seleccionado,justificacion_breve
H1,S01,chatgpt,Ultimo modelo ChatGPT,H1_S01_chatgpt_v01.png,Composición cinematográfica fuerte y atmósfera de anomalía bien lograda.
H1,S01,leonardo,Phoenix 1.0,H1_S01_leonardo_phoenix_v04.jpg,"Buen equilibrio entre panel, personaje y pasillo; detalle visual consistente."
H1,S01,ideogram,Auto (3.0),H1_S01_ideogram_v04.jpeg,Buena lectura del panel y del personaje; evita texto intrusivo de otras variantes.
H1,S08,chatgpt,Ultimo modelo ChatGPT,H1_S08_chatgpt_v01.png,Revelación clara de escala y buen tono de cierre.
H1,S08,leonardo,Phoenix 1.0,H1_S08_leonardo_phoenix_v04.jpg,El marco y la megaestructura refuerzan la sensación de descubrimiento.
H1,S08,ideogram,Auto (3.0),H1_S08_ideogram_v04.jpeg,Buena silueta de Mara y lectura de la estructura exterior.
H2,S01,chatgpt,Ultimo modelo ChatGPT,H2_S01_chatgpt_v01.png,Buen contraste entre Lumi y el grupo; tono de cuento bien resuelto.
H2,S01,leonardo,Phoenix 1.0,H2_S01_leonardo_phoenix_v01.jpg,Presenta mejor a Lumi y al grupo con foco claro.
H2,S01,ideogram,Auto (3.0),H2_S01_ideogram_v04.jpeg,Representa bien el foco central y la comunidad en segundo plano.
H2,S08,chatgpt,Ultimo modelo ChatGPT,H2_S08_chatgpt_v01.png,Camino luminoso y cierre visual fuerte con lectura inmediata.
H2,S08,leonardo,Phoenix 1.0,H2_S08_leonardo_phoenix_v01.jpg,Refuerza el camino iluminado y el tono emocional.
H2,S08,ideogram,Auto (3.0),H2_S08_ideogram_v02.jpeg,Resuelve mejor la idea de comunidad y trayecto compartido.
H3,S01,chatgpt,Ultimo modelo ChatGPT,H3_S01_chatgpt_v01.png,Detonante aventurero claro y lectura inmediata del mapa.
H3,S01,leonardo,Phoenix 1.0,H3_S01_leonardo_phoenix_v02.jpg,Mejor interacción con el mapa y composición más cinematográfica.
H3,S01,ideogram,Auto (3.0),H3_S01_ideogram_v01.jpeg,Versión más cercana al tono juvenil ilustrado del proyecto.
H3,S07,chatgpt,Ultimo modelo ChatGPT,H3_S07_chatgpt_v01.png,Atmósfera de biblioteca y descubrimiento bien lograda.
H3,S07,leonardo,Phoenix 1.0,H3_S07_leonardo_phoenix_v01.jpg,Escala espacial y asombro mejor integrados al hallazgo.
H3,S07,ideogram,Auto (3.0),H3_S07_ideogram_v01.jpeg,Versión ilustrada consistente con tono juvenil y lectura del mapa.
