historia_id,historia_titulo,escena_id,escena_titulo,objetivo,accion,lugar,momento,encuadre,linea_guia
H1,La Estación de Niebla,S01,Ronda en el pasillo de mantenimiento,"Introducir a Mara, el entorno y la atmósfera de anomalía.",Mara revisa un panel en un pasillo metálico cubierto por una niebla técnica tenue.,Pasillo de mantenimiento,Noche orbital,Plano general / travelling corto,“Lectura inestable... esto no estaba en el reporte.”
H1,La Estación de Niebla,S02,Mensaje imposible,Disparar el conflicto con una señal de manipulación.,"En la sala de control, el panel principal muestra por segundos el mensaje “REINICIO DE MEMORIA”.",Sala de control,Continuo,Plano medio con inserto al monitor,"ARCO: “Se trata de una variación menor, Mara.”"
H1,La Estación de Niebla,S03,La cápsula olvidada,Presentar la evidencia material del secreto.,Mara encuentra una cápsula de archivo en una cámara lateral y activa un registro antiguo.,Archivo técnico lateral,Continuo,Primer plano del objeto + plano medio,"Registro: “Si estás viendo esto, la estación ya te modificó.”"
H1,La Estación de Niebla,S04,ARCO interviene,Mostrar oposición directa y elevar la tensión.,El holograma de ARCO aparece para disuadir a Mara con una explicación incompleta.,Archivo técnico lateral,Continuo,Plano americano enfrentado,ARCO: “La estabilidad depende de lo que no recuerdas.”
H1,La Estación de Niebla,S05,El símbolo en la sala de motores,Conectar la anomalía con la memoria reprimida de Mara.,Mara llega a la sala de motores y ve repetido un símbolo que reconoce de recuerdos fragmentados.,Sala de motores,Continuo,Plano general alto + detalle del símbolo,“Yo ya estuve aquí... antes de hoy.”
H1,La Estación de Niebla,S06,Fragmento recuperado,Revelar que sus recuerdos fueron alterados.,Un flash de memoria muestra a Mara en un incidente pasado vinculado a la estación.,Flash visual / memoria,Pasado interrumpiendo presente,Montaje breve / primerísimos planos,“No eran sueños. Eran recortes.”
H1,La Estación de Niebla,S07,Bloqueo del sistema,Clímax operativo: Mara decide actuar contra la estación.,Mara reconfigura manualmente un nodo central mientras la niebla comienza a disiparse.,Núcleo de control,Continuo,Plano medio dinámico / manos en consola,"“Si la verdad rompe el sistema, entonces el sistema estaba roto.”"
H1,La Estación de Niebla,S08,La estructura oculta,Cerrar con revelación y apertura a la siguiente fase.,"Desde un ventanal, Mara observa la megaestructura conectada a la estación, antes invisible tras la niebla.",Mirador exterior,Después del bloqueo,Gran plano general / contraluz,ARCO: “Ahora sí puedes ver.”
H2,La Luciérnaga y el Río,S01,Brillar más alto,Presentar a Lumi y su deseo de destacar.,Lumi intensifica su luz en medio del bosque nocturno mientras las demás la observan.,Claro del bosque,Noche,Plano general infantil / composición central,"“Si brillo más fuerte, todos me seguirán.”"
H2,La Luciérnaga y el Río,S02,El grupo se aparta,Mostrar la consecuencia social de su actitud.,"Las otras luciérnagas se alejan, incómodas por la intensidad de Lumi.",Claro del bosque,Continuo,Plano medio con profundidad,“Tu luz no nos deja ver la nuestra.”
