experimento_id,fecha_hora,historia,escena,escena_titulo,herramienta,modelo_version,prompt_copiado,negative_prompt,seed,ratio,variaciones_generadas,output_final,tiempo_seg,costo_est,score_alineacion,score_personaje,score_estilo,score_calidad,score_storyboard,score_control,notas
C-001,,H1,S01,Ronda en el pasillo de mantenimiento,ChatGPT,ChatGPT Images,"Cinematic realistic sci-fi; cool lighting; blue/gray tones; high detail; moderate contrast. Scene S01 from 'La Estación de Niebla'. Mara checks a panel in a metallic corridor covered by a thin technical fog. Characters: Mara. Visual goal: Introduce Mara, the environment, and the atmosphere of anomaly. Location: Maintenance corridor. Time: Orbital night. Shot: Wide shot / short tracking move. Keep consistency anchors: Mara: short black hair with a silver streak, dark gray technical uniform with cyan lines, left bracelet. ARCO: translucent blue hologram. Generate 1 horizontal image, aspect ratio 16:9. No visible text. Avoid: no visible text unless requested, deformed hands, incorrect anatomy, duplicate elements, glitches, excessive noise, low resolution, strong blur, inconsistent faces, dominant warm colors.",N/A (integrado en prompt),N/A,16:9,1-2,,,,,,,,,,
C-002,,H1,S01,Ronda en el pasillo de mantenimiento,Leonardo,Phoenix,"Cinematic realistic sci-fi; cool lighting; blue/gray tones; high detail; moderate contrast. Scene S01 from 'La Estación de Niebla'. Mara checks a panel in a metallic corridor covered by a thin technical fog. Characters: Mara. Visual goal: Introduce Mara, the environment, and the atmosphere of anomaly. Location: Maintenance corridor. Time: Orbital night. Shot: Wide shot / short tracking move. Keep consistency anchors: Mara: short black hair with a silver streak, dark gray technical uniform with cyan lines, left bracelet. ARCO: translucent blue hologram.","no visible text unless requested, deformed hands, incorrect anatomy, duplicate elements, glitches, excessive noise, low resolution, strong blur, inconsistent faces, dominant warm colors",1101,16:9,4,,,,,,,,,,
C-003,,H1,S01,Ronda en el pasillo de mantenimiento,Ideogram,Ideogram Free,"Cinematic realistic sci-fi; cool lighting; blue/gray tones; high detail; moderate contrast. Scene S01 from 'La Estación de Niebla'. Mara checks a panel in a metallic corridor covered by a thin technical fog. Characters: Mara. Visual goal: Introduce Mara, the environment, and the atmosphere of anomaly. Location: Maintenance corridor. Time: Orbital night. Shot: Wide shot / short tracking move. Keep consistency anchors: Mara: short black hair with a silver streak, dark gray technical uniform with cyan lines, left bracelet. ARCO: translucent blue hologram. No visible text. Keep composition clean. Aspect ratio 16:9.",N/A (Free plan sin campo o no usado),N/A,16:9,por defecto,,,,,,,,,,
C-004,,H1,S08,La estructura oculta,ChatGPT,ChatGPT Images,"Cinematic realistic sci-fi; cool lighting; blue/gray tones; high detail; moderate contrast. Scene S08 from 'La Estación de Niebla'. From a large window, Mara observes the megastructure connected to the station, previously hidden behind the fog. Characters: Mara, ARCO. Visual goal: Close with a revelation and open the next phase. Location: Exterior observation deck. Time: After the lockdown. Shot: Extreme wide shot / backlighting. Keep consistency anchors: Mara: short black hair with a silver streak, dark gray technical uniform with cyan lines, left bracelet. ARCO: translucent blue hologram. Generate 1 horizontal image, aspect ratio 16:9. No visible text. Avoid: no visible text unless requested, deformed hands, incorrect anatomy, duplicate elements, glitches, excessive noise, low resolution, strong blur, inconsistent faces, dominant warm colors.",N/A (integrado en prompt),N/A,16:9,1-2,,,,,,,,,,
C-005,,H1,S08,La estructura oculta,Leonardo,Phoenix,"Cinematic realistic sci-fi; cool lighting; blue/gray tones; high detail; moderate contrast. Scene S08 from 'La Estación de Niebla'. From a large window, Mara observes the megastructure connected to the station, previously hidden behind the fog. Characters: Mara, ARCO. Visual goal: Close with a revelation and open the next phase. Location: Exterior observation deck. Time: After the lockdown. Shot: Extreme wide shot / backlighting. Keep consistency anchors: Mara: short black hair with a silver streak, dark gray technical uniform with cyan lines, left bracelet. ARCO: translucent blue hologram.","no visible text unless requested, deformed hands, incorrect anatomy, duplicate elements, glitches, excessive noise, low resolution, strong blur, inconsistent faces, dominant warm colors",1101,16:9,4,,,,,,,,,,
C-006,,H1,S08,La estructura oculta,Ideogram,Ideogram Free,"Cinematic realistic sci-fi; cool lighting; blue/gray tones; high detail; moderate contrast. Scene S08 from 'La Estación de Niebla'. From a large window, Mara observes the megastructure connected to the station, previously hidden behind the fog. Characters: Mara, ARCO. Visual goal: Close with a revelation and open the next phase. Location: Exterior observation deck. Time: After the lockdown. Shot: Extreme wide shot / backlighting. Keep consistency anchors: Mara: short black hair with a silver streak, dark gray technical uniform with cyan lines, left bracelet. ARCO: translucent blue hologram. No visible text. Keep composition clean. Aspect ratio 16:9.",N/A (Free plan sin campo o no usado),N/A,16:9,por defecto,,,,,,,,,,
C-007,,H2,S01,Brillar más alto,ChatGPT,ChatGPT Images,"Soft storybook illustration; warm palette; watercolor textures; clear expressions; clean composition. Scene S01 from 'La Luciérnaga y el Río'. Lumi intensifies her light in the middle of the night forest while the others watch her. Characters: Lumi. Visual goal: Introduce Lumi and her desire to stand out. Location: Forest clearing. Time: Night. Shot: Child-friendly wide shot / centered composition. Keep consistency anchors: Lumi: amber-gold firefly with a small leaf-green scarf, translucent wings, large eyes. Group: 2-3 warm-toned fireflies. River: wise non-literal reflection. Generate 1 horizontal image, aspect ratio 4:3. No visible text. Avoid: harsh realism, horror, violence, grotesque insect anatomy, text, noise, cluttered background, extreme saturation, aggressive expressions.",N/A (integrado en prompt),N/A,4:3,1-2,,,,,,,,,,
C-008,,H2,S01,Brillar más alto,Leonardo,Phoenix,"Soft storybook illustration; warm palette; watercolor textures; clear expressions; clean composition. Scene S01 from 'La Luciérnaga y el Río'. Lumi intensifies her light in the middle of the night forest while the others watch her. Characters: Lumi. Visual goal: Introduce Lumi and her desire to stand out. Location: Forest clearing. Time: Night. Shot: Child-friendly wide shot / centered composition. Keep consistency anchors: Lumi: amber-gold firefly with a small leaf-green scarf, translucent wings, large eyes. Group: 2-3 warm-toned fireflies. River: wise non-literal reflection.","harsh realism, horror, violence, grotesque insect anatomy, text, noise, cluttered background, extreme saturation, aggressive expressions",2202,4:3,4,,,,,,,,,,
C-009,,H2,S01,Brillar más alto,Ideogram,Ideogram Free,"Soft storybook illustration; warm palette; watercolor textures; clear expressions; clean composition. Scene S01 from 'La Luciérnaga y el Río'. Lumi intensifies her light in the middle of the night forest while the others watch her. Characters: Lumi. Visual goal: Introduce Lumi and her desire to stand out. Location: Forest clearing. Time: Night. Shot: Child-friendly wide shot / centered composition. Keep consistency anchors: Lumi: amber-gold firefly with a small leaf-green scarf, translucent wings, large eyes. Group: 2-3 warm-toned fireflies. River: wise non-literal reflection. No visible text. Keep composition clean. Aspect ratio 4:3.",N/A (Free plan sin campo o no usado),N/A,4:3,por defecto,,,,,,,,,,
C-010,,H2,S08,El camino iluminado,ChatGPT,ChatGPT Images,"Soft storybook illustration; warm palette; watercolor textures; clear expressions; clean composition. Scene S08 from 'La Luciérnaga y el Río'. Many small lights form a bright, harmonious path into the forest. Characters: Lumi. Visual goal: Close with a clear visual moral. Location: Main path. Time: Late night. Shot: Poetic extreme wide shot. Keep consistency anchors: Lumi: amber-gold firefly with a small leaf-green scarf, translucent wings, large eyes. Group: 2-3 warm-toned fireflies. River: wise non-literal reflection. Generate 1 horizontal image, aspect ratio 4:3. No visible text. Avoid: harsh realism, horror, violence, grotesque insect anatomy, text, noise, cluttered background, extreme saturation, aggressive expressions.",N/A (integrado en prompt),N/A,4:3,1-2,,,,,,,,,,
