historia,escena,herramienta,modelo_version,archivo,variante,ancho_px,alto_px,ratio_real,observacion_tecnica
H1,S01,chatgpt,Ultimo modelo ChatGPT,H1_S01_chatgpt_v01.png,v01,1536,1024,1.5,Generación única por escena; las escenas esperadas en 4:3 también salieron en 16:9.
H1,S08,chatgpt,Ultimo modelo ChatGPT,H1_S08_chatgpt_v01.png,v01,1536,1024,1.5,Generación única por escena; las escenas esperadas en 4:3 también salieron en 16:9.
H2,S01,chatgpt,Ultimo modelo ChatGPT,H2_S01_chatgpt_v01.png,v01,1536,1024,1.5,Generación única por escena; las escenas esperadas en 4:3 también salieron en 16:9.
H2,S08,chatgpt,Ultimo modelo ChatGPT,H2_S08_chatgpt_v01.png,v01,1536,1024,1.5,Generación única por escena; las escenas esperadas en 4:3 también salieron en 16:9.
H3,S01,chatgpt,Ultimo modelo ChatGPT,H3_S01_chatgpt_v01.png,v01,1536,1024,1.5,Generación única por escena; las escenas esperadas en 4:3 también salieron en 16:9.
H3,S07,chatgpt,Ultimo modelo ChatGPT,H3_S07_chatgpt_v01.png,v01,1536,1024,1.5,Generación única por escena; las escenas esperadas en 4:3 también salieron en 16:9.
H1,S01,ideogram,Auto (3.0),H1_S01_ideogram_v01.jpeg,v01,1312,736,1.783,4 variantes por escena; plan free sin seed ni negative prompt.
H1,S01,ideogram,Auto (3.0),H1_S01_ideogram_v02.jpeg,v02,1312,736,1.783,4 variantes por escena; plan free sin seed ni negative prompt.
H1,S01,ideogram,Auto (3.0),H1_S01_ideogram_v03.jpeg,v03,1312,736,1.783,4 variantes por escena; plan free sin seed ni negative prompt.
H1,S01,ideogram,Auto (3.0),H1_S01_ideogram_v04.jpeg,v04,1312,736,1.783,4 variantes por escena; plan free sin seed ni negative prompt.
H1,S08,ideogram,Auto (3.0),H1_S08_ideogram_v01.jpeg,v01,1312,736,1.783,4 variantes por escena; plan free sin seed ni negative prompt.
H1,S08,ideogram,Auto (3.0),H1_S08_ideogram_v02.jpeg,v02,1312,736,1.783,4 variantes por escena; plan free sin seed ni negative prompt.
H1,S08,ideogram,Auto (3.0),H1_S08_ideogram_v03.jpeg,v03,1312,736,1.783,4 variantes por escena; plan free sin seed ni negative prompt.
H1,S08,ideogram,Auto (3.0),H1_S08_ideogram_v04.jpeg,v04,1312,736,1.783,4 variantes por escena; plan free sin seed ni negative prompt.
