experimento_id,fecha_hora,historia,escena,herramienta,modelo_version,prompt,negative_prompt,seed,ratio,steps,cfg,quality,variaciones,tiempo_seg,costo_est,archivo_output,score_alineacion,score_personaje,score_estilo,score_calidad,score_storyboard,score_control,notas
PLAN-001,,H1,S01,,,"Cinemático sci-fi realista; iluminación fría; tonos azul/gris; alto detalle; contraste moderado. Escena S01 de 'La Estación de Niebla'. Mara revisa un panel en un pasillo metálico cubierto por una niebla técnica tenue. Personajes: Mara. Objetivo visual: Introducir a Mara, el entorno y la atmósfera de anomalía. Ubicación: Pasillo de mantenimiento. Momento: Noche orbital. Encuadre: Plano general / travelling corto. Mantener anclas de consistencia: Mara: cabello corto negro con mechón plateado, uniforme técnico gris oscuro con líneas cian, brazalete izquierdo. ARCO: holograma azul translúcido.","texto legible no solicitado, manos deformes, anatomía incorrecta, duplicaciones, glitches, ruido excesivo, baja resolución, desenfoque fuerte, rostros inconsistentes, colores cálidos dominantes",1101,16:9,,,,,,,,,,,,,,Fila preparada desde Entregable B para Fase 2.
PLAN-002,,H1,S02,,,"Cinemático sci-fi realista; iluminación fría; tonos azul/gris; alto detalle; contraste moderado. Escena S02 de 'La Estación de Niebla'. En la sala de control, el panel principal muestra por segundos el mensaje “REINICIO DE MEMORIA”. Personajes: Mara, ARCO. Objetivo visual: Disparar el conflicto con una señal de manipulación. Ubicación: Sala de control. Momento: Continuo. Encuadre: Plano medio con inserto al monitor. Mantener anclas de consistencia: Mara: cabello corto negro con mechón plateado, uniforme técnico gris oscuro con líneas cian, brazalete izquierdo. ARCO: holograma azul translúcido.","texto legible no solicitado, manos deformes, anatomía incorrecta, duplicaciones, glitches, ruido excesivo, baja resolución, desenfoque fuerte, rostros inconsistentes, colores cálidos dominantes",1101,16:9,,,,,,,,,,,,,,Fila preparada desde Entregable B para Fase 2.
PLAN-003,,H1,S03,,,"Cinemático sci-fi realista; iluminación fría; tonos azul/gris; alto detalle; contraste moderado. Escena S03 de 'La Estación de Niebla'. Mara encuentra una cápsula de archivo en una cámara lateral y activa un registro antiguo. Personajes: Mara. Objetivo visual: Presentar la evidencia material del secreto. Ubicación: Archivo técnico lateral. Momento: Continuo. Encuadre: Primer plano del objeto + plano medio. Mantener anclas de consistencia: Mara: cabello corto negro con mechón plateado, uniforme técnico gris oscuro con líneas cian, brazalete izquierdo. ARCO: holograma azul translúcido.","texto legible no solicitado, manos deformes, anatomía incorrecta, duplicaciones, glitches, ruido excesivo, baja resolución, desenfoque fuerte, rostros inconsistentes, colores cálidos dominantes",1101,16:9,,,,,,,,,,,,,,Fila preparada desde Entregable B para Fase 2.
PLAN-004,,H1,S04,,,"Cinemático sci-fi realista; iluminación fría; tonos azul/gris; alto detalle; contraste moderado. Escena S04 de 'La Estación de Niebla'. El holograma de ARCO aparece para disuadir a Mara con una explicación incompleta. Personajes: Mara, ARCO. Objetivo visual: Mostrar oposición directa y elevar la tensión. Ubicación: Archivo técnico lateral. Momento: Continuo. Encuadre: Plano americano enfrentado. Mantener anclas de consistencia: Mara: cabello corto negro con mechón plateado, uniforme técnico gris oscuro con líneas cian, brazalete izquierdo. ARCO: holograma azul translúcido.","texto legible no solicitado, manos deformes, anatomía incorrecta, duplicaciones, glitches, ruido excesivo, baja resolución, desenfoque fuerte, rostros inconsistentes, colores cálidos dominantes",1101,16:9,,,,,,,,,,,,,,Fila preparada desde Entregable B para Fase 2.
PLAN-005,,H1,S05,,,"Cinemático sci-fi realista; iluminación fría; tonos azul/gris; alto detalle; contraste moderado. Escena S05 de 'La Estación de Niebla'. Mara llega a la sala de motores y ve repetido un símbolo que reconoce de recuerdos fragmentados. Personajes: Mara. Objetivo visual: Conectar la anomalía con la memoria reprimida de Mara. Ubicación: Sala de motores. Momento: Continuo. Encuadre: Plano general alto + detalle del símbolo. Mantener anclas de consistencia: Mara: cabello corto negro con mechón plateado, uniforme técnico gris oscuro con líneas cian, brazalete izquierdo. ARCO: holograma azul translúcido.","texto legible no solicitado, manos deformes, anatomía incorrecta, duplicaciones, glitches, ruido excesivo, baja resolución, desenfoque fuerte, rostros inconsistentes, colores cálidos dominantes",1101,16:9,,,,,,,,,,,,,,Fila preparada desde Entregable B para Fase 2.
PLAN-006,,H1,S06,,,"Cinemático sci-fi realista; iluminación fría; tonos azul/gris; alto detalle; contraste moderado. Escena S06 de 'La Estación de Niebla'. Un flash de memoria muestra a Mara en un incidente pasado vinculado a la estación. Personajes: Mara. Objetivo visual: Revelar que sus recuerdos fueron alterados. Ubicación: Flash visual / memoria. Momento: Pasado interrumpiendo presente. Encuadre: Montaje breve / primerísimos planos. Mantener anclas de consistencia: Mara: cabello corto negro con mechón plateado, uniforme técnico gris oscuro con líneas cian, brazalete izquierdo. ARCO: holograma azul translúcido.","texto legible no solicitado, manos deformes, anatomía incorrecta, duplicaciones, glitches, ruido excesivo, baja resolución, desenfoque fuerte, rostros inconsistentes, colores cálidos dominantes",1101,16:9,,,,,,,,,,,,,,Fila preparada desde Entregable B para Fase 2.
PLAN-007,,H1,S07,,,"Cinemático sci-fi realista; iluminación fría; tonos azul/gris; alto detalle; contraste moderado. Escena S07 de 'La Estación de Niebla'. Mara reconfigura manualmente un nodo central mientras la niebla comienza a disiparse. Personajes: Mara. Objetivo visual: Clímax operativo: Mara decide actuar contra la estación. Ubicación: Núcleo de control. Momento: Continuo. Encuadre: Plano medio dinámico / manos en consola. Mantener anclas de consistencia: Mara: cabello corto negro con mechón plateado, uniforme técnico gris oscuro con líneas cian, brazalete izquierdo. ARCO: holograma azul translúcido.","texto legible no solicitado, manos deformes, anatomía incorrecta, duplicaciones, glitches, ruido excesivo, baja resolución, desenfoque fuerte, rostros inconsistentes, colores cálidos dominantes",1101,16:9,,,,,,,,,,,,,,Fila preparada desde Entregable B para Fase 2.
PLAN-008,,H1,S08,,,"Cinemático sci-fi realista; iluminación fría; tonos azul/gris; alto detalle; contraste moderado. Escena S08 de 'La Estación de Niebla'. Desde un ventanal, Mara observa la megaestructura conectada a la estación, antes invisible tras la niebla. Personajes: Mara, ARCO. Objetivo visual: Cerrar con revelación y apertura a la siguiente fase. Ubicación: Mirador exterior. Momento: Después del bloqueo. Encuadre: Gran plano general / contraluz. Mantener anclas de consistencia: Mara: cabello corto negro con mechón plateado, uniforme técnico gris oscuro con líneas cian, brazalete izquierdo. ARCO: holograma azul translúcido.","texto legible no solicitado, manos deformes, anatomía incorrecta, duplicaciones, glitches, ruido excesivo, baja resolución, desenfoque fuerte, rostros inconsistentes, colores cálidos dominantes",1101,16:9,,,,,,,,,,,,,,Fila preparada desde Entregable B para Fase 2.
PLAN-009,,H2,S01,,,"Ilustración suave tipo cuento; paleta cálida; texturas acuarela; expresiones claras; composición limpia. Escena S01 de 'La Luciérnaga y el Río'. Lumi intensifica su luz en medio del bosque nocturno mientras las demás la observan. Personajes: Lumi. Objetivo visual: Presentar a Lumi y su deseo de destacar. Ubicación: Claro del bosque. Momento: Noche. Encuadre: Plano general infantil / composición central. Mantener anclas de consistencia: Lumi: luciérnaga ámbar dorada con bufanda-hoja verde, alas translúcidas, ojos grandes. Grupo: 2-3 luciérnagas cálidas. Río: reflejo sabio no literal.","estilo realista duro, terror, violencia, anatomía insecto grotesca, texto, ruido, fondo confuso, saturación extrema, expresiones agresivas",2202,4:3,,,,,,,,,,,,,,Fila preparada desde Entregable B para Fase 2.
PLAN-010,,H2,S02,,,"Ilustración suave tipo cuento; paleta cálida; texturas acuarela; expresiones claras; composición limpia. Escena S02 de 'La Luciérnaga y el Río'. Las otras luciérnagas se alejan, incómodas por la intensidad de Lumi. Personajes: Lumi, Grupo de luciérnagas. Objetivo visual: Mostrar la consecuencia social de su actitud. Ubicación: Claro del bosque. Momento: Continuo. Encuadre: Plano medio con profundidad. Mantener anclas de consistencia: Lumi: luciérnaga ámbar dorada con bufanda-hoja verde, alas translúcidas, ojos grandes. Grupo: 2-3 luciérnagas cálidas. Río: reflejo sabio no literal.","estilo realista duro, terror, violencia, anatomía insecto grotesca, texto, ruido, fondo confuso, saturación extrema, expresiones agresivas",2202,4:3,,,,,,,,,,,,,,Fila preparada desde Entregable B para Fase 2.
